method,rr_long,rr_short,yc_long,yc_short,sharpe,sortino,ann_ret,vol,mdd,calmar,total_ret,n_trades
D,2.0,-3.0,0.0,-0.5,-0.08396533289099777,-0.08113683623137621,0.002065063969101999,0.12322211568620539,-0.2777686131218658,0.00743447557264503,0.035836233292350084,9
D,2.0,-3.0,0.0,-0.25,-0.07644610899173436,-0.07390879584638121,0.0030068381661056964,0.12315796474829617,-0.2777686131218658,0.010824974543781526,0.05257768233207738,9
D,2.0,-3.0,0.0,0.0,-0.07644610899173436,-0.07390879584638121,0.0030068381661056964,0.12315796474829617,-0.2777686131218658,0.010824974543781526,0.05257768233207738,9
D,2.0,-3.0,0.0,0.5,-0.07496028982897274,-0.07318992060711757,0.004082511344147166,0.11864103363907352,-0.2777686131218651,0.014697525750888386,0.07201092675889487,13
D,2.0,-3.0,0.25,-1.0,-0.051759514934880166,-0.04953615388946756,0.005204288470099794,0.12796047975506217,-0.2973596599629457,0.01750166270283032,0.09263657642772394,7
D,2.0,-3.0,0.25,-0.5,-0.08396533289099777,-0.08113683623137621,0.002065063969101999,0.12322211568620539,-0.2777686131218658,0.00743447557264503,0.035836233292350084,9
D,2.0,-3.0,0.25,-0.25,-0.07644610899173436,-0.07390879584638121,0.0030068381661056964,0.12315796474829617,-0.2777686131218658,0.010824974543781526,0.05257768233207738,9
D,2.0,-3.0,0.25,0.0,-0.07644610899173436,-0.07390879584638121,0.0030068381661056964,0.12315796474829617,-0.2777686131218658,0.010824974543781526,0.05257768233207738,9
D,2.0,-3.0,0.25,0.5,-0.04381437912112484,-0.043083855230069086,0.007959634595182008,0.11766358410839774,-0.27776861312186435,0.02865562997101443,0.1448950099071089,13
D,2.0,-3.0,0.5,-1.0,-0.051759514934880166,-0.04953615388946756,0.005204288470099794,0.12796047975506217,-0.2973596599629457,0.01750166270283032,0.09263657642772394,7
D,2.0,-3.0,0.5,-0.5,-0.08396533289099777,-0.08113683623137621,0.002065063969101999,0.12322211568620539,-0.2777686131218658,0.00743447557264503,0.035836233292350084,9
D,2.0,-3.0,0.5,-0.25,-0.07644610899173436,-0.07390879584638121,0.0030068381661056964,0.12315796474829617,-0.2777686131218658,0.010824974543781526,0.05257768233207738,9
D,2.0,-3.0,0.5,0.0,-0.07644610899173436,-0.07390879584638121,0.0030068381661056964,0.12315796474829617,-0.2777686131218658,0.010824974543781526,0.05257768233207738,9
D,2.0,-3.0,0.5,0.5,-0.09866896251594251,-0.09632547485186682,0.0025703365177154325,0.11252113177126362,-0.27776861312186435,0.009253516762845191,0.044786787757604696,13
D,2.0,-3.0,1.0,-1.0,-0.2508993814878196,-0.25823992809476204,-0.005249650792311655,0.08597431187380963,-0.273591792355512,-0.019187895759278217,-0.08591728385177977,6
