method,yc_confirm,tl_c,ts_c,tl_s,sharpe,sortino,ann_ret,vol,mdd,calmar,total_ret,n_trades
C,-0.5,-3.0,3.25,-3.75,-0.0370797394029255,-0.03706806532229615,0.011504128901802746,0.09891284560496846,-0.23607758712951216,0.04873028838392685,0.21558501521616913,3
C,-0.5,-3.0,3.25,-3.5,-0.0370797394029255,-0.03706806532229615,0.011504128901802746,0.09891284560496846,-0.23607758712951216,0.04873028838392685,0.21558501521616913,3
C,-0.5,-2.75,2.25,-4.5,0.04039649313335917,0.041312373823688305,0.01838797505535328,0.11244503842645148,-0.24633849032673422,0.07464515606539665,0.3647694597511968,9
C,-0.5,-2.75,2.25,-4.25,0.04039649313335917,0.041312373823688305,0.01838797505535328,0.11244503842645148,-0.24633849032673422,0.07464515606539665,0.3647694597511968,9
C,-0.5,-2.75,2.25,-4.0,0.04039649313335917,0.041312373823688305,0.01838797505535328,0.11244503842645148,-0.24633849032673422,0.07464515606539665,0.3647694597511968,9
C,-0.5,-2.75,2.25,-3.75,0.04039649313335917,0.041312373823688305,0.01838797505535328,0.11244503842645148,-0.24633849032673422,0.07464515606539665,0.3647694597511968,9
C,-0.5,-2.75,2.25,-3.5,0.04039649313335917,0.041312373823688305,0.01838797505535328,0.11244503842645148,-0.24633849032673422,0.07464515606539665,0.3647694597511968,9
C,-0.5,-2.75,2.5,-4.5,-0.12548360479951598,-0.12659332013534982,0.001731587081585051,0.1031695254729144,-0.25331753838369475,0.006835638355849852,0.029968517063948097,7
C,-0.5,-2.75,2.5,-4.25,-0.12548360479951598,-0.12659332013534982,0.001731587081585051,0.1031695254729144,-0.25331753838369475,0.006835638355849852,0.029968517063948097,7
C,-0.5,-2.75,2.5,-4.0,-0.12548360479951598,-0.12659332013534982,0.001731587081585051,0.1031695254729144,-0.25331753838369475,0.006835638355849852,0.029968517063948097,7
C,-0.5,-2.75,2.5,-3.75,-0.12548360479951598,-0.12659332013534982,0.001731587081585051,0.1031695254729144,-0.25331753838369475,0.006835638355849852,0.029968517063948097,7
C,-0.5,-2.75,2.5,-3.5,-0.12548360479951598,-0.12659332013534982,0.001731587081585051,0.1031695254729144,-0.25331753838369475,0.006835638355849852,0.029968517063948097,7
C,-0.5,-2.75,2.75,-4.5,-0.030449202430981585,-0.03066338950807163,0.012304753156942239,0.09786778667198993,-0.23607758712951205,0.05212164910086046,0.23211144834602337,7
C,-0.5,-2.75,2.75,-4.25,-0.030449202430981585,-0.03066338950807163,0.012304753156942239,0.09786778667198993,-0.23607758712951205,0.05212164910086046,0.23211144834602337,7
C,-0.5,-2.75,2.75,-4.0,-0.030449202430981585,-0.03066338950807163,0.012304753156942239,0.09786778667198993,-0.23607758712951205,0.05212164910086046,0.23211144834602337,7
C,-0.5,-2.75,2.75,-3.75,-0.030449202430981585,-0.03066338950807163,0.012304753156942239,0.09786778667198993,-0.23607758712951205,0.05212164910086046,0.23211144834602337,7
C,-0.5,-2.75,2.75,-3.5,-0.030449202430981585,-0.03066338950807163,0.012304753156942239,0.09786778667198993,-0.23607758712951205,0.05212164910086046,0.23211144834602337,7
C,-0.5,-2.75,3.0,-4.5,-0.1010476685943676,-0.10214475507397626,0.005956261336711899,0.09473426687119703,-0.23607758712951216,0.025230100871220334,0.10667132022517789,5
C,-0.5,-2.75,3.0,-4.25,-0.1010476685943676,-0.10214475507397626,0.005956261336711899,0.09473426687119703,-0.23607758712951216,0.025230100871220334,0.10667132022517789,5
C,-0.5,-2.75,3.0,-4.0,-0.1010476685943676,-0.10214475507397626,0.005956261336711899,0.09473426687119703,-0.23607758712951216,0.025230100871220334,0.10667132022517789,5
