method,k_yc,tl_c,ts_c,tl_s,sharpe,sortino,ann_ret,vol,mdd,calmar,total_ret,n_trades
A,0.05,-3.75,2.25,-4.0,0.12643082067706754,0.12690866965691167,0.028333462637793128,0.11629482109008815,-0.2390012151194273,0.11854945015085001,0.6110017854663647,17
A,0.05,-3.75,2.25,-3.75,0.11971773294907744,0.12020306704425238,0.027530978641955528,0.11627302968727637,-0.23900121511942674,0.11519179359903484,0.5896788620233429,17
A,0.05,-3.75,2.25,-3.5,0.11379577685972148,0.11465918175594905,0.02682679483720163,0.11434824534394958,-0.23607758712951113,0.11363550078341222,0.5711870279907834,17
A,0.05,-3.75,2.5,-4.5,0.1249421502197083,0.12542681232369973,0.0281767615340065,0.11929389285373475,-0.26191565318978194,0.10757952489991061,0.6068170170871439,12
A,0.05,-3.75,2.5,-4.25,0.17175968212734521,0.17171472485098643,0.03379145079731738,0.11670499957678585,-0.23607758712951216,0.14313705594923498,0.7633298857405177,16
A,0.05,-3.75,2.5,-4.0,0.16683238555235286,0.16754097751440622,0.03314200908432108,0.1156461682535365,-0.23607758712951216,0.14038608868930608,0.7445185662687164,17
A,0.05,-3.75,2.5,-3.75,0.16008925017310785,0.16081329968592356,0.03233577262714027,0.11562437800244174,-0.23607758712951216,0.13697095527073846,0.7214284392626138,17
A,0.05,-3.75,2.5,-3.5,0.1548317021070179,0.15609514356788665,0.0316282960183929,0.11368875772676519,-0.23607758712951216,0.1339741582543438,0.7014040370023502,17
A,0.05,-3.75,2.75,-4.5,0.24085817928963343,0.24194396276290497,0.04183880597411638,0.11422993109308043,-0.23607758712951185,0.1772248119054337,1.0128426971275104,12
A,0.05,-3.75,2.75,-4.25,0.3241508296946064,0.3243158319784955,0.05088121063477691,0.11011341161545943,-0.23607758712951216,0.21552749353907738,1.3327364472257814,14
A,0.05,-3.75,2.75,-4.0,0.3205922432264426,0.3223917066360364,0.05022103290447699,0.10899099080369046,-0.23607758712951216,0.2127310496312627,1.3078506610168845,15
A,0.05,-3.75,2.75,-3.75,0.31347056927692446,0.31531482476003514,0.04940146843281634,0.10896831609754482,-0.23607758712951216,0.20925946013551341,1.2773043739756513,15
A,0.05,-3.75,2.75,-3.5,0.3110083059488887,0.31421064897797263,0.04868229642329447,0.1069127844270399,-0.23607758712951216,0.20621312262306105,1.2508137817364005,15
A,0.05,-3.75,3.0,-4.5,0.21609996040631066,0.21939095523330843,0.038370866199955556,0.1093744491364872,-0.23607758712951185,0.16253498125980653,0.9014965925714991,10
A,0.05,-3.75,3.0,-4.25,0.30000632436747465,0.3036669002502212,0.04707351076467714,0.10506299379750787,-0.23607758712951216,0.1993984746161126,1.1926009802634159,12
A,0.05,-3.75,3.0,-4.0,0.29616988254361026,0.30131401178909073,0.04641572508272018,0.10388590099034305,-0.23607758712951216,0.19661216317522137,1.1692101684547676,13
A,0.05,-3.75,3.0,-3.75,0.28869627713604196,0.2937795562631353,0.045599130171748437,0.1038619868578826,-0.23607758712951216,0.1931531524283699,1.1404989014834452,13
A,0.05,-3.75,3.0,-3.5,0.24750457249163121,0.25147862263171605,0.041076645115710964,0.1034668036475567,-0.23607758712951216,0.17399637811943713,0.9878579858459138,13
A,0.05,-3.75,3.25,-4.5,0.1991160105919183,0.20329852514650795,0.03621435108805615,0.10693280545073261,-0.23607758712951224,0.15340020850089825,0.8352087964068182,10
A,0.05,-3.75,3.25,-4.25,0.24185530035487715,0.2436579198497684,0.04012934276477642,0.10112931328551238,-0.23607758712951257,0.16998370430972506,0.9572109595465088,10
A,0.05,-3.75,3.25,-4.0,0.2372935595810625,0.2403090103829746,0.03947591950268414,0.09990567371642776,-0.23607758712951257,0.16721587162371152,0.9363313039973788,11
A,0.05,-3.75,3.25,-3.75,0.22951073380401263,0.2324777790850217,0.03866474023081712,0.09988058687554784,-0.23607758712951257,0.16377980095842634,0.9107023788602793,11
A,0.05,-3.75,3.25,-3.5,0.18646739401634477,0.18854435482803844,0.034172248194069166,0.0994683545045782,-0.23607758712951257,0.1447500739463345,0.7744484614123757,11
A,0.05,-3.5,2.25,-4.5,0.06571188092772215,0.06605285857583243,0.021023023944576336,0.11771685951802298,-0.2740103962532751,0.07672345367926914,0.426309068063667,14
A,0.05,-3.5,2.25,-4.25,0.09758535443770804,0.09777379635248573,0.02490443617499527,0.11551261377509901,-0.23900121511942723,0.10420213203749068,0.5217315449635331,18
A,0.05,-3.5,2.25,-4.0,0.09803468790074034,0.09824909368540312,0.02495771068190744,0.11550801408018539,-0.23900121511942723,0.1044250367908642,0.5230821376041817,19
A,0.05,-3.5,2.25,-3.75,0.09127069502232758,0.09149499085072492,0.024157861032823247,0.11548598325296522,-0.23900121511942665,0.1010784025543627,0.5029229024558752,19
