combo,signal,base,f1_slope,f2_sma,f3_move,f4_xtenor,sharpe,sortino,ann_ret,vol,mdd,calmar,excess,n_events,eq_final
F1+F3,z_move,optimized,0.0,,"(80, 140)",,0.1733728227878031,0.20229988012518293,0.036946230649473,0.0977444467764943,-0.23607758712951155,0.1565003738758326,0.05306737429763431,19,1.8574577934250283
F1+F3,z_move,optimized,0.0,,"(80, 120)",,0.1733728227878031,0.20229988012518293,0.036946230649473,0.0977444467764943,-0.23607758712951155,0.1565003738758326,0.05306737429763431,19,1.8574577934250283
F3+F4,z_move,optimized,,,"(80, 140)",2.0,0.1733728227878031,0.20229988012518293,0.036946230649473,0.0977444467764943,-0.23607758712951155,0.1565003738758326,0.05306737429763431,14,1.8574577934250283
F1+F3+F4,z_std,optimized,-0.25,,"(80, 140)",2.0,0.10521527179267312,0.11726947179333029,0.029633423735807796,0.09155917740525799,-0.2360775871295131,0.12552408763628536,0.0457545673839691,21,1.646115559715956
F1+F3+F4,z_std,optimized,-0.5,,"(80, 140)",2.0,0.10521527179267312,0.11726947179333029,0.029633423735807796,0.09155917740525799,-0.2360775871295131,0.12552408763628536,0.0457545673839691,21,1.646115559715956
F1+F3+F4,z_std,optimized,-1.0,,"(80, 120)",2.0,0.10521527179267312,0.11726947179333029,0.029633423735807796,0.09155917740525799,-0.2360775871295131,0.12552408763628536,0.0457545673839691,21,1.646115559715956
F3,z_std,optimized,,,"(80, 120)",,0.10521527179267312,0.11726947179333029,0.029633423735807796,0.09155917740525799,-0.2360775871295131,0.12552408763628536,0.0457545673839691,25,1.646115559715956
F1+F3+F4,z_std,optimized,-1.0,,"(80, 140)",2.0,0.10521527179267312,0.11726947179333029,0.029633423735807796,0.09155917740525799,-0.2360775871295131,0.12552408763628536,0.0457545673839691,21,1.646115559715956
F1+F3+F4,z_std,optimized,0.0,,"(80, 140)",2.0,0.10521527179267312,0.11726947179333029,0.029633423735807796,0.09155917740525799,-0.2360775871295131,0.12552408763628536,0.0457545673839691,21,1.646115559715956
F1+F3+F4,z_std,optimized,0.0,,"(80, 120)",2.0,0.10521527179267312,0.11726947179333029,0.029633423735807796,0.09155917740525799,-0.2360775871295131,0.12552408763628536,0.0457545673839691,21,1.646115559715956
F3+F4,z_std,optimized,,,"(80, 140)",2.0,0.10521527179267312,0.11726947179333029,0.029633423735807796,0.09155917740525799,-0.2360775871295131,0.12552408763628536,0.0457545673839691,21,1.646115559715956
F1+F3,z_std,optimized,0.0,,"(80, 120)",,0.10521527179267312,0.11726947179333029,0.029633423735807796,0.09155917740525799,-0.2360775871295131,0.12552408763628536,0.0457545673839691,25,1.646115559715956
F3,z_std,optimized,,,"(80, 140)",,0.10521527179267312,0.11726947179333029,0.029633423735807796,0.09155917740525799,-0.2360775871295131,0.12552408763628536,0.0457545673839691,25,1.646115559715956
F1+F3,z_std,optimized,-0.5,,"(80, 140)",,0.10521527179267312,0.11726947179333029,0.029633423735807796,0.09155917740525799,-0.2360775871295131,0.12552408763628536,0.0457545673839691,25,1.646115559715956
F1+F3,z_std,optimized,0.0,,"(80, 140)",,0.10521527179267312,0.11726947179333029,0.029633423735807796,0.09155917740525799,-0.2360775871295131,0.12552408763628536,0.0457545673839691,25,1.646115559715956
