combo_id,k,strategies,method,sharpe,sortino,ann_ret,vol,mdd,calmar,total_ret
2571,3,bh_tlt+bh_ief+barbell_shy_tlt,min_variance,-0.41043653361850346,-0.3953357532872275,-0.0010516406642939735,0.04843430139957886,-0.23218841443666416,-0.004529255548109347,-0.01690355276082567
2571,3,bh_tlt+bh_ief+barbell_shy_tlt,max_sharpe,-0.015810708632839246,-0.015438520724075082,-0.02924358735748167,0.2997159491775756,-0.7954503403493276,-0.036763561311243066,-0.3817620599233761
2571,3,bh_tlt+bh_ief+barbell_shy_tlt,risk_parity,-0.1672691635848631,-0.1626952128279761,0.000151404283062595,0.09287707530915944,-0.3847476842207733,0.0003935157748102708,0.002455935064919812
140,2,steep_5s30s+bh_tlt,equal_weight,-0.07090428068834251,-0.06904304756462332,-0.0006947524241711633,0.1445444403588609,-0.5201522862836138,-0.0013356711918638931,-0.0111973927954937
140,2,steep_5s30s+bh_tlt,min_variance,-0.4261759861764635,-0.4298001798029946,0.004240289798204566,0.03552054270465099,-0.13428840478787468,0.03157599351114963,0.07096224767678305
140,2,steep_5s30s+bh_tlt,max_sharpe,-0.015810708632839288,-0.01543852072407512,-0.02924358735748178,0.2997159491775757,-0.7954503403493279,-0.03676356131124319,-0.3817620599233772
140,2,steep_5s30s+bh_tlt,risk_parity,-0.015810708632839288,-0.01543852072407512,-0.02924358735748178,0.2997159491775757,-0.7954503403493279,-0.03676356131124319,-0.3817620599233772
257,2,bfly_2s10s30s_neg+bh_tlt,equal_weight,-0.07091555650125575,-0.06879270696125789,-0.0018960216817275333,0.1500445534314444,-0.5246151378148529,-0.00361411927536997,-0.030281276589001815
257,2,bfly_2s10s30s_neg+bh_tlt,min_variance,-0.5776780503043594,-0.5692559064786027,0.003220878308711761,0.028358569078739952,-0.08342571516363374,0.038607739860476255,0.05348322937165073
257,2,bfly_2s10s30s_neg+bh_tlt,max_sharpe,-0.015810708632839288,-0.01543852072407512,-0.02924358735748178,0.2997159491775757,-0.7954503403493279,-0.03676356131124319,-0.3817620599233772
257,2,bfly_2s10s30s_neg+bh_tlt,risk_parity,-0.41299844109709405,-0.4085230682952433,0.0038628586861941816,0.03739783935748323,-0.14421918165615416,0.026784638782682654,0.0644592620478337
282,2,bh_tlt+barbell_shy_tlt,equal_weight,-0.07163395781981871,-0.06972351385499508,-0.007048475630812789,0.1718314156907097,-0.5833270889474791,-0.012083230428284485,-0.10828300230318899
282,2,bh_tlt+barbell_shy_tlt,min_variance,-0.4104365336185036,-0.3953357532872276,-0.0010516406642939735,0.04843430139957887,-0.23218841443666405,-0.004529255548109349,-0.01690355276082567
282,2,bh_tlt+barbell_shy_tlt,max_sharpe,-0.015810708632839173,-0.015438520724075007,-0.02924358735748178,0.2997159491775757,-0.7954503403493287,-0.036763561311243156,-0.3817620599233782
282,2,bh_tlt+barbell_shy_tlt,risk_parity,-0.216463509331904,-0.21062233611002443,-0.0010784443919225062,0.08188924725973738,-0.34960811663149927,-0.0030847235536560183,-0.017330858326691345
157,2,steep_10s30s+bh_tlt,equal_weight,-0.07186041109738799,-0.06966793690732992,-0.0016429863327551697,0.14825555960803538,-0.5252604627639523,-0.003127945941542366,-0.026290410794188923
157,2,steep_10s30s+bh_tlt,min_variance,-0.4185429327974739,-0.4163557893051009,0.0031272886642441655,0.03854932462266274,-0.12314603999546002,0.02539495922369455,0.051892011067366184
157,2,steep_10s30s+bh_tlt,max_sharpe,-0.015810708632839288,-0.01543852072407512,-0.02924358735748178,0.2997159491775757,-0.7954503403493279,-0.03676356131124319,-0.3817620599233772
157,2,steep_10s30s+bh_tlt,risk_parity,-0.32267467392396965,-0.32238087392246545,0.0037828283327319134,0.046875938337934936,-0.18279070890208682,0.020694861108932035,0.06308514073196125
13400,4,flat_10s2s+bh_tlt+bh_ief+bh_50_50,equal_weight,-0.07189783882314825,-0.06973418008456511,-0.0012063335183836177,0.146235407747466,-0.5129810202113954,-0.0023516143304609933,-0.019367271071904946
13400,4,flat_10s2s+bh_tlt+bh_ief+bh_50_50,min_variance,-0.8887509965005527,-0.8852810947846526,0.0033618857828230375,0.01853385740621912,-0.04437537655040903,0.07576016349977427,0.05588491462098677
13400,4,flat_10s2s+bh_tlt+bh_ief+bh_50_50,max_sharpe,-0.015810708632839333,-0.015438520724075165,-0.02924358735748178,0.29971594917757566,-0.7954503403493283,-0.03676356131124318,-0.38176205992337786
13400,4,flat_10s2s+bh_tlt+bh_ief+bh_50_50,risk_parity,-0.31235567189967545,-0.30255836390650087,0.004025305130459511,0.04754928824918083,-0.17657292201302555,0.02279684271273808,0.06725359392889252
13403,4,flat_10s2s+bh_tlt+bh_ief+barbell_iei_tlt,equal_weight,-0.0720863247601073,-0.06991810862819282,0.0008184825457555611,0.13662375946655417,-0.4952228610652549,0.0016527559814079557,0.013344191380162851
13403,4,flat_10s2s+bh_tlt+bh_ief+barbell_iei_tlt,min_variance,-0.8887509965005526,-0.8852810947846526,0.0033618857828230375,0.018533857406219125,-0.04437537655040902,0.0757601634997743,0.05588491462098699
13403,4,flat_10s2s+bh_tlt+bh_ief+barbell_iei_tlt,max_sharpe,-0.015810708632839288,-0.01543852072407512,-0.02924358735748178,0.2997159491775757,-0.7954503403493279,-0.03676356131124319,-0.3817620599233772
13403,4,flat_10s2s+bh_tlt+bh_ief+barbell_iei_tlt,risk_parity,-0.3210593464270678,-0.3107104830614407,0.004441356154472942,0.04529567670160852,-0.17311110407085867,0.025656102064111293,0.07444173965561784
2021,3,flat_10s2s+bh_tlt+bh_50_50,equal_weight,-0.07247071014835096,-0.07049858163479823,-0.003031840175481637,0.15407815136405367,-0.5220802052443066,-0.0058072306611642015,-0.048007047404541536
