DATE,mode
2012-10-31,FLAT
2012-11-01,FLAT
2012-11-02,FLAT
2012-11-05,FLAT
2012-11-06,FLAT
2012-11-07,FLAT
2012-11-08,FLAT
2012-11-09,FLAT
2012-11-12,FLAT
2012-11-13,FLAT
2012-11-14,FLAT
2012-11-15,FLAT
2012-11-16,FLAT
2012-11-19,FLAT
2012-11-20,FLAT
2012-11-21,FLAT
2012-11-23,FLAT
2012-11-26,FLAT
2012-11-27,FLAT
2012-11-28,FLAT
2012-11-29,FLAT
2012-11-30,FLAT
2012-12-03,FLAT
2012-12-04,FLAT
2012-12-05,FLAT
2012-12-06,FLAT
2012-12-07,FLAT
2012-12-10,FLAT
2012-12-11,FLAT
2012-12-12,FLAT
2012-12-13,FLAT
2012-12-14,FLAT
2012-12-17,FLAT
2012-12-18,FLAT
2012-12-19,FLAT
2012-12-20,FLAT
2012-12-21,FLAT
2012-12-24,FLAT
2012-12-26,FLAT
2012-12-27,FLAT
2012-12-28,FLAT
2012-12-31,FLAT
2013-01-02,FLAT
2013-01-03,FLAT
2013-01-04,FLAT
2013-01-07,FLAT
2013-01-08,FLAT
2013-01-09,FLAT
2013-01-10,FLAT
2013-01-11,FLAT
2013-01-14,FLAT
2013-01-15,FLAT
2013-01-16,FLAT
2013-01-17,FLAT
2013-01-18,FLAT
2013-01-22,FLAT
2013-01-23,FLAT
2013-01-24,FLAT
2013-01-25,FLAT
2013-01-28,FLAT
2013-01-29,BLEND_MR
2013-01-30,BLEND_MR
2013-01-31,BLEND_MR
2013-02-01,BLEND_MR
2013-02-04,BLEND_MR
2013-02-05,BLEND_MR
2013-02-06,BLEND_MR
2013-02-07,BLEND_MR
2013-02-08,BLEND_MR
2013-02-11,BLEND_MR
2013-02-12,BLEND_MR
2013-02-13,BLEND_MR
2013-02-14,BLEND_MR
2013-02-15,BLEND_MR
2013-02-19,BLEND_MR
2013-02-20,BLEND_MR
2013-02-21,BLEND_MR
2013-02-22,BLEND_MR
2013-02-25,BLEND_MR
2013-02-26,BLEND_MR
2013-02-27,BLEND_MR
2013-02-28,BLEND_MR
2013-03-01,BLEND_MR
2013-03-04,BLEND_MR
2013-03-05,BLEND_MR
2013-03-06,BLEND_MR
2013-03-07,BLEND_MR
2013-03-08,BLEND_MR
2013-03-11,BLEND_MR
2013-03-12,BLEND_MR
2013-03-13,BLEND_MR
2013-03-14,BLEND_MR
2013-03-15,BLEND_MR
2013-03-18,BLEND_MR
2013-03-19,BLEND_MR
2013-03-20,BLEND_MR
2013-03-21,BLEND_MR
2013-03-22,BLEND_MR
2013-03-25,BLEND_MR
2013-03-26,BLEND_MR
2013-03-27,BLEND_MR
2013-03-28,BLEND_MR
2013-04-01,MOM_MR
2013-04-02,MOM_MR
2013-04-03,MOM_MR
2013-04-04,MOM_MR
2013-04-05,MOM_MR
2013-04-08,MOM_MR
2013-04-09,MOM_MR
2013-04-10,MOM_MR
2013-04-11,MOM_MR
2013-04-12,MOM_MR
2013-04-15,MOM_MR
2013-04-16,MOM_MR
2013-04-17,MOM_MR
2013-04-18,MOM_MR
2013-04-19,MOM_MR
2013-04-22,MOM_MR
2013-04-23,MOM_MR
2013-04-24,MOM_MR
2013-04-25,MOM_MR
2013-04-26,MOM_MR
2013-04-29,MOM_MR
2013-04-30,MOM_MR
2013-05-01,MOM_MR
2013-05-02,MOM_MR
2013-05-03,MOM_MR
2013-05-06,MOM_MR
2013-05-07,MOM_MR
2013-05-08,MOM_MR
2013-05-09,MOM_MR
2013-05-10,MOM_MR
2013-05-13,MOM_MR
2013-05-14,MOM_MR
2013-05-15,MOM_MR
2013-05-16,MOM_MR
2013-05-17,MOM_MR
2013-05-20,MOM_MR
2013-05-21,MOM_MR
2013-05-22,MOM_MR
2013-05-23,MOM_MR
2013-05-24,MOM_MR
2013-05-28,MOM_MR
2013-05-29,MOM_MR
2013-05-30,MOM_MR
2013-05-31,MOM_MR
2013-06-03,MOM_MR
2013-06-04,MOM_MR
2013-06-05,MOM_MR
2013-06-06,MOM_MR
2013-06-07,MOM_MR
2013-06-10,MOM_MR
2013-06-11,MOM_MR
2013-06-12,MOM_MR
2013-06-13,MOM_MR
2013-06-14,MOM_MR
2013-06-17,MOM_MR
2013-06-18,MOM_MR
2013-06-19,MOM_MR
2013-06-20,MOM_MR
2013-06-21,MOM_MR
2013-06-24,MOM_MR
2013-06-25,MOM_MR
2013-06-26,MOM_MR
2013-06-27,MOM_MR
2013-06-28,MOM_MR
2013-07-01,MOM_MR
2013-07-02,MOM_MR
2013-07-03,MOM_MR
2013-07-05,MOM_MR
2013-07-08,MOM_MR
2013-07-09,MOM_MR
2013-07-10,MOM_MR
2013-07-11,MOM_MR
2013-07-12,MOM_MR
2013-07-15,MOM_MR
2013-07-16,MOM_MR
2013-07-17,MOM_MR
2013-07-18,MOM_MR
2013-07-19,MOM_MR
2013-07-22,MOM_MR
2013-07-23,MOM_MR
2013-07-24,MOM_MR
2013-07-25,MOM_MR
2013-07-26,MOM_MR
2013-07-29,MOM_MR
2013-07-30,MOM_MR
