pair,z_window,k_spread,sharpe,delta_sharpe,n_dead,win_rate,n_events
1W-6M,126,0.75,-0.00301658430871831,-0.422710326942695,1,0.4444444444444444,126
1W-6M,126,-0.75,-0.041623507055564765,-0.46131724968954146,3,0.5,76
1W-6M,126,1.0,-0.15965970472570026,-0.579353447359677,1,0.3888888888888889,153
1W-6M,126,-1.0,-0.022004836960547978,-0.4416985795945247,4,0.5,106
1W-6M,252,0.1,0.3016315615703009,-0.11806218106367578,4,0.7777777777777778,58
1W-6M,252,-0.1,0.20274853771667992,-0.21694520491729677,4,0.7222222222222222,54
1W-6M,252,0.2,0.276966137518029,-0.14272760511594768,4,0.7777777777777778,58
1W-6M,252,-0.2,0.2346665621082692,-0.1850271805257075,3,0.7222222222222222,53
1W-6M,252,0.3,0.3549791312748419,-0.06471461135913481,4,0.6666666666666666,68
1W-6M,252,-0.3,0.1855747774377412,-0.23411896519623548,3,0.7222222222222222,55
1W-6M,252,0.5,0.1602459689457606,-0.2594477736882161,4,0.6111111111111112,92
1W-6M,252,-0.5,-0.015647444337680106,-0.4353411869716568,3,0.5,68
1W-6M,252,0.75,-0.0681906245898493,-0.487884367223826,1,0.4444444444444444,120
1W-6M,252,-0.75,-0.035564713043861024,-0.45525845567783774,3,0.5,80
1W-6M,252,1.0,-0.08567534753912429,-0.5053690901731009,1,0.5,149
1W-6M,252,-1.0,-0.05078966981393852,-0.4704834124479152,4,0.4444444444444444,99
1M-3M,42,0.1,0.387080935639306,-0.03261280699467067,4,0.7777777777777778,62
1M-3M,42,-0.1,0.2639092864119766,-0.1557844562220001,4,0.6666666666666666,54
1M-3M,42,0.2,0.32186914025818153,-0.09782460237579516,4,0.7777777777777778,66
1M-3M,42,-0.2,0.13226958102181238,-0.28742416161216433,4,0.6111111111111112,50
1M-3M,42,0.3,0.21686358698349592,-0.20283015565048076,4,0.6666666666666666,70
1M-3M,42,-0.3,0.137129703825222,-0.2825640388087547,4,0.6111111111111112,50
1M-3M,42,0.5,0.034685541785258685,-0.385008200848718,2,0.5555555555555556,93
1M-3M,42,-0.5,-0.013717272593812661,-0.43341101522778935,7,0.5,61
1M-3M,42,0.75,-0.23631041908624675,-0.6560041617202235,2,0.5,126
1M-3M,42,-0.75,0.08396208968544641,-0.33573165294853025,5,0.6111111111111112,78
1M-3M,42,1.0,-0.37514343153790314,-0.7948371741718798,2,0.3333333333333333,179
1M-3M,42,-1.0,0.01514034787352491,-0.40455339476045177,1,0.5555555555555556,118
1M-3M,63,0.1,0.3924156731450853,-0.027278069488891388,4,0.7777777777777778,61
1M-3M,63,-0.1,0.2560628751688057,-0.16363086746517097,3,0.6666666666666666,53
1M-3M,63,0.2,0.3374248705827518,-0.0822688720512249,4,0.7777777777777778,63
1M-3M,63,-0.2,0.16046441990799004,-0.25922932272598664,4,0.6111111111111112,52
1M-3M,63,0.3,0.15990760768513582,-0.25978613494884084,4,0.7222222222222222,70
1M-3M,63,-0.3,0.13485135826746011,-0.28484238436651654,4,0.6111111111111112,50
1M-3M,63,0.5,-0.05917548893834582,-0.47886923157232253,3,0.5555555555555556,98
1M-3M,63,-0.5,0.016196047666100628,-0.4034976949678761,4,0.5555555555555556,56
1M-3M,63,0.75,-0.20556650546116323,-0.6252602480951399,1,0.5,129
1M-3M,63,-0.75,-0.04776472789986162,-0.4674584705338383,5,0.4444444444444444,75
1M-3M,63,1.0,-0.32914032965006984,-0.7488340722840465,3,0.3333333333333333,175
1M-3M,63,-1.0,-0.04455277997608863,-0.4642465226100653,3,0.4444444444444444,108
1M-3M,126,0.1,0.40436445987069525,-0.015329282763281438,4,0.7777777777777778,61
1M-3M,126,-0.1,0.25586026773485504,-0.16383347489912164,3,0.6666666666666666,54
1M-3M,126,0.2,0.3215859306655895,-0.09810781196838719,4,0.7777777777777778,64
1M-3M,126,-0.2,0.1532954265104496,-0.26639831612352705,4,0.6111111111111112,52
1M-3M,126,0.3,0.140451429724624,-0.2792423129093527,4,0.7222222222222222,70
1M-3M,126,-0.3,0.14767840853737346,-0.2720153340966032,5,0.5555555555555556,52
1M-3M,126,0.5,-0.01832881230145327,-0.43802255493542996,1,0.5555555555555556,93
1M-3M,126,-0.5,0.007875584352613655,-0.41181815828136303,4,0.5555555555555556,54
1M-3M,126,0.75,-0.21063265168178802,-0.6303263943157646,2,0.4444444444444444,121
1M-3M,126,-0.75,0.026780181630195726,-0.39291356100378094,5,0.5,74
1M-3M,126,1.0,-0.25617009939193364,-0.6758638420259103,3,0.5,167
1M-3M,126,-1.0,-0.064619224023177,-0.4843129666571537,4,0.4444444444444444,103
1M-3M,252,0.1,0.40436445987069525,-0.015329282763281438,4,0.7777777777777778,61
1M-3M,252,-0.1,0.21136553585619486,-0.20832820677778183,4,0.6666666666666666,55
1M-3M,252,0.2,0.27483980051321405,-0.14485394212076264,4,0.7222222222222222,64
1M-3M,252,-0.2,0.15624108728378425,-0.26345265535019247,4,0.6111111111111112,51
1M-3M,252,0.3,0.17698195054652854,-0.24271179208744814,5,0.7222222222222222,69
1M-3M,252,-0.3,0.12302847051882108,-0.2966652721151556,4,0.6111111111111112,51
1M-3M,252,0.5,0.026376558814537973,-0.3933171838194387,3,0.6666666666666666,89
1M-3M,252,-0.5,-0.012017853750433127,-0.4317115963844098,4,0.5,53
