base,slope,mom_win,k,thresh,tl_c,ts_c,tl_s,cd,sharpe,ann_ret,vol,mdd,n_events,eq_final
ALL|std|w63,5Y-2Y,21,0.15,baseline,-3.5,3.0,-4.0,5,0.2222567902601074,0.043041650949140475,0.10367130256031684,-0.2360775871295132,25,2.0528759365414153
ALL|std|w63,5Y-2Y,21,0.15,aggr,-3.0,2.5,-3.5,5,0.16487207995778458,0.037331582521968,0.10512139184758111,-0.23502229616705395,47,1.8692742201724788
ALL|std|w63,5Y-2Y,21,0.2,opt_tight,-3.25,2.75,-4.0,5,0.18124645424340935,0.039174558565781226,0.10579273755077317,-0.2360775871295121,34,1.9267723610667096
ALL|std|w63,5Y-2Y,21,0.2,opt_loose,-3.5,2.75,-4.0,5,0.18124645424340935,0.039174558565781226,0.10579273755077317,-0.2360775871295121,33,1.9267723610667096
ALL|std|w63,5Y-2Y,21,0.2,baseline,-3.5,3.0,-4.0,5,0.22169483775727622,0.04276092095870432,0.1026677986233682,-0.23607758712951266,29,2.0434661457071317
ALL|std|w63,5Y-2Y,21,0.2,aggr,-3.0,2.5,-3.5,5,0.2327275006212862,0.0432362071909731,0.09984298000426263,-0.23502229616705395,51,2.0594211835609975
ALL|std|w63,5Y-2Y,21,0.25,opt_tight,-3.25,2.75,-4.0,5,0.18124645424340935,0.039174558565781226,0.10579273755077317,-0.2360775871295121,35,1.9267723610667096
ALL|std|w63,5Y-2Y,21,0.25,opt_loose,-3.5,2.75,-4.0,5,0.18124645424340935,0.039174558565781226,0.10579273755077317,-0.2360775871295121,34,1.9267723610667096
ALL|std|w63,5Y-2Y,21,0.25,baseline,-3.5,3.0,-4.0,5,0.17347023623409788,0.038343480770765215,0.10574425428239291,-0.2360775871295121,33,1.9006408571763749
ALL|std|w63,5Y-2Y,21,0.25,aggr,-3.0,2.5,-3.5,5,0.22158579261838626,0.04217237777364069,0.10006227164494173,-0.2350222961670565,53,2.0238703983537447
ALL|std|w63,5Y-2Y,21,0.3,opt_tight,-3.25,2.75,-4.0,5,0.21361217051021802,0.042235159200547656,0.10409125635228751,-0.23607758712951143,41,2.025952267446173
ALL|std|w63,5Y-2Y,21,0.3,opt_loose,-3.5,2.75,-4.0,5,0.16443526107904788,0.037466066389191255,0.10621849762986606,-0.23607758712951143,37,1.8734146639761569
ALL|std|w63,5Y-2Y,21,0.3,baseline,-3.5,3.0,-4.0,5,0.18124645424340935,0.039174558565781226,0.10579273755077317,-0.2360775871295121,34,1.9267723610667096
ALL|std|w63,5Y-2Y,21,0.3,aggr,-3.0,2.5,-3.5,5,0.03568816893180126,0.02337867323916476,0.09467208154112014,-0.2852166179896394,60,1.4835261773475317
ALL|std|w63,5Y-2Y,21,0.4,opt_tight,-3.25,2.75,-4.0,5,0.10121122794929405,0.030052614632586128,0.09932311697297458,-0.2625024640853443,47,1.6575912674660926
ALL|std|w63,5Y-2Y,21,0.4,opt_loose,-3.5,2.75,-4.0,5,0.12877413065562163,0.03343993277335677,0.10436826639737873,-0.2350222961670565,44,1.7531244587892236
ALL|std|w63,5Y-2Y,21,0.4,baseline,-3.5,3.0,-4.0,5,0.1352550980313466,0.034086219516752836,0.10414557175130082,-0.2350222961670565,40,1.7719308282771777
ALL|std|w63,5Y-2Y,21,0.4,aggr,-3.0,2.5,-3.5,5,0.008912638416580219,0.020861634941050422,0.09667563080395122,-0.2962214985947984,73,1.4224660754966134
ALL|std|w63,5Y-2Y,21,0.5,opt_tight,-3.25,2.75,-4.0,5,0.06294856795136385,0.026216591547579826,0.09875667945906205,-0.2625024640853443,59,1.5553270712589238
ALL|std|w63,5Y-2Y,21,0.5,opt_loose,-3.5,2.75,-4.0,5,0.27036338845271135,0.04828983337039494,0.10463633235364282,-0.2350222961670565,56,2.236480089959417
ALL|std|w63,5Y-2Y,21,0.5,baseline,-3.5,3.0,-4.0,5,0.19081731610459363,0.03955922470446649,0.10250235724804659,-0.2350222961670565,45,1.9389815481981867
ALL|std|w63,5Y-2Y,21,0.5,aggr,-3.0,2.5,-3.5,5,-0.1566702280467814,0.004175461786577461,0.10100539464777804,-0.34074784261821567,86,1.0737059403634854
ALL|std|w63,5Y-2Y,42,0.1,opt_tight,-3.25,2.75,-4.0,5,0.21730803510008243,0.04358928624959457,0.10855229646124404,-0.23607758712951288,32,2.0713496503872126
ALL|std|w63,5Y-2Y,42,0.1,opt_loose,-3.5,2.75,-4.0,5,0.21730803510008243,0.04358928624959457,0.10855229646124404,-0.23607758712951288,32,2.0713496503872126
ALL|std|w63,5Y-2Y,42,0.1,baseline,-3.5,3.0,-4.0,5,0.1649854554431754,0.03556352324370193,0.09433269861210494,-0.23607758712951166,18,1.8156347366659191
