signal,change_win,z_win,group,tl,ts,sharpe,sortino,ann_ret,vol,mdd,calmar,total_ret,n_trades
k0.25,10,63,all_6,-1.0,1.5,-0.3841118869315612,-0.38829494091251304,-0.020469460776248338,0.09431282165132338,-0.35340002009882476,-0.05792150427870451,-0.29787473811759946,125
k0.25,10,63,all_6,-1.0,2.0,-0.3504821192886615,-0.35186605311471675,-0.0108444958934939,0.07920176429542698,-0.3032320805692441,-0.03576302307175418,-0.17009584567313607,76
k0.25,10,63,all_6,-1.0,2.5,-0.42964417293962753,-0.43686031586251106,-0.009317896582345941,0.06361334425119808,-0.23618219615307331,-0.039452154879222434,-0.14792061694010072,38
k0.25,10,63,all_6,-1.0,3.0,-0.42342593232741704,-0.43308272933508557,-0.0045191145095225815,0.05441909945595948,-0.1604541453208541,-0.02816452326916128,-0.07452522485395285,15
k0.25,10,63,all_6,-0.5,0.5,-0.505412679084217,-0.510823105880397,-0.041111892822705665,0.110528227928732,-0.5246481585926018,-0.07836088271612471,-0.5121951533572051,265
k0.25,10,63,all_6,-0.5,1.0,-0.5109238977379588,-0.5179836699856801,-0.03629580232953322,0.10141958850214619,-0.47464712793422026,-0.076469023393234,-0.4685641114019208,209
k0.25,10,63,all_6,-0.5,1.5,-0.37760140167778383,-0.38372057683529376,-0.016770203106849957,0.08757838909133152,-0.3412778117774121,-0.04913944747684858,-0.25112925211571624,135
k0.25,10,63,all_6,-0.5,2.0,-0.2593501026994779,-0.26530413785388923,-0.0015394465221321152,0.07281014018881925,-0.28705973604076584,-0.0053628089517698705,-0.02599963074809697,76
k0.25,10,63,all_6,-0.5,2.5,-0.41823273759797264,-0.4241218016818357,-0.007073559027679921,0.06041274441975299,-0.25880952764252446,-0.02733113843262422,-0.11430448937981963,38
k0.25,10,63,all_6,-0.5,3.0,-0.4266297484564961,-0.4323968378126558,-0.0036074662461467177,0.05214759356747525,-0.1826731640218407,-0.01974820037449728,-0.0599256780939299,15
k0.25,10,126,all_6,-3.0,0.5,-0.1932564032242119,-0.18964634589005053,-0.01932225731555448,0.1478725041844448,-0.5026802688259435,-0.03843846379863568,-0.28368049749846913,21
k0.25,10,126,all_6,-3.0,1.0,-0.1758294191935866,-0.17316153385440808,-0.016285071103125492,0.1462781253280256,-0.4714307586284556,-0.03454392995167312,-0.24478597812339753,21
k0.25,10,126,all_6,-3.0,1.5,-0.17899350594475216,-0.17614243912031666,-0.016006360988709223,0.14397305012255127,-0.48045766122031236,-0.03331482101472737,-0.24111889950955445,19
