z_windows,k_slope,yc_cw,k_yc,term_z_w,k_term,tl_c,ts_c,tl_s,adapt_days,adapt_raise,max_hold_days,sharpe,sortino,calmar,ann_ret,mdd,excess,n_events,n_dead,win_rate,consistency,min_excess,composite_score
"[63, 252]",1.0,84,0.2,252,0.4,-3.75,3.75,-3.0,42,0.75,0,0.4870108799304677,0.5285591296842977,0.31543858944724396,0.062027378276850786,-0.19663852284384076,0.0781485219250121,74,2,0.7222222222222222,8.499197677508835,-0.18667545268935104,0.28896857211292415
"[63, 252]",1.0,84,0.3,63,0.4,-3.75,3.625,-2.875,42,1.0,0,0.48810228914317705,0.5246440434671416,0.3131383281361895,0.06157505829049059,-0.19663852284384198,0.0776962019386519,81,2,0.7222222222222222,7.6034888696388325,-0.2154528155560782,0.28755175097855024
"[63, 252]",1.0,84,0.3,63,0.4,-3.75,3.625,-2.875,42,0.75,0,0.48810228914317705,0.5246440434671416,0.3131383281361895,0.06157505829049059,-0.19663852284384198,0.0776962019386519,81,2,0.7222222222222222,7.6034888696388325,-0.2154528155560782,0.28755175097855024
"[63, 252]",1.0,84,0.3,63,0.4,-3.75,3.625,-2.875,63,0.5,0,0.48810228914317705,0.5246440434671416,0.3131383281361895,0.06157505829049059,-0.19663852284384198,0.0776962019386519,81,2,0.7222222222222222,7.6034888696388325,-0.2154528155560782,0.28755175097855024
"[63, 252]",1.0,84,0.3,63,0.4,-3.75,3.625,-2.875,63,0.75,0,0.48810228914317705,0.5246440434671416,0.3131383281361895,0.06157505829049059,-0.19663852284384198,0.0776962019386519,81,2,0.7222222222222222,7.6034888696388325,-0.2154528155560782,0.28755175097855024
"[63, 252]",1.0,84,0.3,63,0.4,-3.75,3.625,-2.875,42,0.5,0,0.48810228914317705,0.5246440434671416,0.3131383281361895,0.06157505829049059,-0.19663852284384198,0.0776962019386519,81,2,0.7222222222222222,7.6034888696388325,-0.2154528155560782,0.28755175097855024
"[63, 252]",1.0,84,0.3,63,0.4,-3.75,3.625,-2.875,0,0.0,0,0.48810228914317705,0.5246440434671416,0.3131383281361895,0.06157505829049059,-0.19663852284384198,0.0776962019386519,84,2,0.7222222222222222,7.6034888696388325,-0.2154528155560782,0.28755175097855024
"[63, 252]",1.0,84,0.3,63,0.4,-3.75,3.75,-2.75,42,0.75,0,0.48064255584929266,0.5186565938404654,0.3040607278155235,0.059790052372467706,-0.19663852284384087,0.07591119602062901,87,2,0.7222222222222222,8.340679148051121,-0.15694355921917835,0.2853905283943858
"[63, 252]",1.0,84,0.3,63,0.4,-3.75,3.75,-2.75,42,0.5,0,0.48064255584929266,0.5186565938404654,0.3040607278155235,0.059790052372467706,-0.19663852284384087,0.07591119602062901,87,2,0.7222222222222222,8.340679148051121,-0.15694355921917835,0.2853905283943858
"[63, 252]",1.0,84,0.3,63,0.4,-3.75,3.75,-2.75,0,0.0,0,0.48064255584929266,0.5186565938404654,0.3040607278155235,0.059790052372467706,-0.19663852284384087,0.07591119602062901,89,2,0.7222222222222222,8.340679148051121,-0.15694355921917835,0.2853905283943858
"[63, 252]",1.0,84,0.3,63,0.4,-3.75,3.75,-2.75,42,1.0,0,0.48064255584929266,0.5186565938404654,0.3040607278155235,0.059790052372467706,-0.19663852284384087,0.07591119602062901,85,2,0.7222222222222222,8.340679148051121,-0.15694355921917835,0.2853905283943858
"[63, 252]",1.0,84,0.3,63,0.4,-3.75,3.75,-2.75,126,0.75,0,0.48064255584929266,0.5186565938404654,0.3040607278155235,0.059790052372467706,-0.19663852284384087,0.07591119602062901,89,2,0.7222222222222222,8.340679148051121,-0.15694355921917835,0.2853905283943858
"[63, 252]",1.0,84,0.3,63,0.4,-3.75,3.75,-2.75,126,1.0,0,0.48064255584929266,0.5186565938404654,0.3040607278155235,0.059790052372467706,-0.19663852284384087,0.07591119602062901,89,2,0.7222222222222222,8.340679148051121,-0.15694355921917835,0.2853905283943858
